_ID_;_MAIN_CATEGORY_;_CATEGORY_;_NAME_;_SKU_;_MANUFACTURER_;_PRICE_;_QUANTITY_;_ATTRIBUTES_;_DESCRIPTION_;_SORT_ORDER_
10693789;Барные аксессуары и товары для сервировки;Размешиватели деревянные|Размешиватели и палочки для мороженого;Размешиватель деревянный, 140х6х1,8 мм, 500 штук в упаковке;10-0027;No Name (Россия);215.74;4245;"1.|Бренд|No Name
2.|Материал|дерево
3.|Размер|140х6х1,8
4.|Количество в упаковке|500
5.|Количество в грузовой упаковке|20
7.|Товары из биоразлагаемых материалов|Есть";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">Размешиватель деревянный, используется для размешивания сахара в горячих напитках. Изготовлена из дерева, размер 140х6х1,8 мм, без индивидуальной упаковки. В упаковке 500 штук. В коробке 20 упаковок.</span><br></p>";1
34134696;Барные аксессуары и товары для сервировки;Салфетки для торта|Салфетки для сервировки и папильотки;Ажурные салфетки для торта, диаметр 32 см, белый, 250 штук в упаковке, в коробке 2000 штук;10-0033;No Name (Россия);3.97;28500;"1.|Бренд|No Name
2.|Диаметр, см|32
3.|Цвет|белый
4.|Количество в упаковке|250
5.|Количество в коробке|2000 штук
7.|Артикул производителя|С32-250";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">Ажурные салфетки используются для декорации кондитерских изделий, для сервировки чайных и кофейных столов. Бумажные ажурные одноразовые салфетки также являются гигиенически оправданным средством при использовании в качестве подложки под торты и кондитерские изделия. Диаметр салфетки 32 см, цвет - белый, в упаковке 250 штук. В коробке 2000 штук.</span><br></p>";2
10539;Барные аксессуары и товары для сервировки;Трубочки гофрированные|Трубочки для напитков;Трубочка для коктейля гофрированная с изгибом, d=5 мм, 21 см, в полоску;10-0051;отсутствует (Россия);28.06;1154;"1.|Изгиб|да
2.|Диаметр, мм|5
3.|Длина, см|21
4.|Цвет|ассорти";;3
438436;Барные аксессуары и товары для сервировки;Трубочки гофрированные|Трубочки для напитков;Трубочки 5х210 мм, для коктейля, флюоресцентные, с гофрой *12000/100/1;10-0052;отсутствует (отсутствует);30.2;1413;"1.|Диаметр, мм|5
2.|Длина, см|21
3.|Цвет|флуорисцентный";;4
26696;Барные аксессуары и товары для сервировки;Трубочки гофрированные|Трубочки для напитков;Трубочки коктейльные цветные, с гофрой, d=5 мм, 21 см;10-0053;отсутствует (Россия);28.06;2524;"1.|Изгиб|да
2.|Диаметр, мм|5
3.|Длина, см|21
4.|Цвет|ассорти";;5
4283;Барные аксессуары и товары для сервировки;Трубочки гофрированные|Трубочки для напитков;Трубочки для коктейлей гофрированные, пластиковые, черные, 21 см, d=5 мм, 100 шт. в упаковке;10-0054;отсутствует (отсутствует);23.34;843;"1.|Диаметр, мм|5
2.|Длина, см|21
3.|Цвет|черный
4.|Материал|пластик";;6
8738;Барные аксессуары и товары для сервировки;Палочки для еды;Палочки для суши, круглые, 22,5 см, с зубочисткой, в индивидуальной полиэтиленовой упаковке, 100 штук в упаковке;10-0146;отсутствует (Китай);172.03;6211;"1.|Материал|бамбук
2.|Размер, см|22.5
3.|Упаковка|полиэтиленовая
4.|Количество в упаковке|100
5.|Количество в грузовой упаковке|30";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">Бамбуковые палочки для суши используют для японской кухни: суши, роллы. Палочки изготовлены из стебля бамбука, надежны и долговечны. Используются кафе, барами и ресторанами, предлагающими своим клиентам блюда японской, китайской или корейской кухни. Длина палочек 22,5 см. Упакованы в индивидуальную прозрачную полиэтиленовую упаковку, в комплекте есть зубочистка. В упаковке 100 штук. В коробке 30 упаковок.</span><br></p>";7
6492;Барные аксессуары и товары для сервировки;Трубочки без изгиба|Трубочки для напитков;Трубочка без изгиба, d=7 мм, 24 см, зеленая, в индивидуальной упаковке, 500 штук в упаковке;10-0166;отсутствует (Россия);361.18;377;"1.|Материал|полипропилен
2.|Цвет|зеленый
3.|Диаметр, мм|7
4.|Длина, мм|24";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">Трубочки без изгиба предназначены для соков, коктейлей, газированных напитков и других прохладных напитков. Изготовлены из полипропилена, зеленого цвета. Каждая трубочка в индивидуальной упаковке. Диаметр трубочки 7 мм, длина 24 см. В упаковке 500 штук. В коробке 10 упаковок.</span><br></p>";8
453806;Барные аксессуары и товары для сервировки;Трубочки без изгиба|Трубочки для напитков;Трубочки для коктейля, диаметр 8 мм, 24 см, черные, без гофры, 5000 штук;10-0175;отсутствует (отсутствует);192.31;1961;"1.|Диаметр, мм|8
2.|Цвет|черный";;9
232;Барные аксессуары и товары для сервировки;Свечи плавающие|Свечи и подсвечники;Свеча плавающая в гильзе TEXTOP ЭКОНОМ  100 штук в упаковке;10-0176;TEXTOP (Китай);444.35;2043;"1.|Бренд|TEXTOP
2.|Материал|парафин
3.|Размер|4х4х1,5
4.|Форма|круглая
5.|Цвет|белый
6.|Количество в упаковке|100
7.|Количество в коробке|15
9.|Артикул производителя|Т 077";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Свеча чайная TEXTOP** в гильзе упакована в пакет по 100 шт. Каждая свеча рассчитана на 3 часа горения. Свечи в гильзе применяются для украшения интерьеров и поддержания блюд в подогретом состоянии в барах, ресторанах, домах и квартирах.</span><br></p>";10
