_NAME_;_MODEL_;_SKU_
Размешиватель деревянный, 140х6х1,8 мм, 500 штук в упаковке;10-0027;10-0027
Ажурные салфетки для торта, диаметр 32 см, белый, 250 штук в упаковке, в коробке 2000 штук;10-0033;10-0033
Трубочка для коктейля гофрированная с изгибом, d=5 мм, 21 см, в полоску;10-0051;10-0051
Трубочки 5х210 мм, для коктейля, флюоресцентные, с гофрой *12000/100/1;10-0052;10-0052
Трубочки коктейльные цветные, с гофрой, d=5 мм, 21 см;10-0053;10-0053
Трубочки для коктейлей гофрированные, пластиковые, черные, 21 см, d=5 мм, 100 шт. в упаковке;10-0054;10-0054
Палочки для суши, круглые, 22,5 см, с зубочисткой, в индивидуальной полиэтиленовой упаковке, 100 штук в упаковке;10-0146;10-0146
Трубочка без изгиба, d=7 мм, 24 см, зеленая, в индивидуальной упаковке, 500 штук в упаковке;10-0166;10-0166
Трубочки для коктейля, диаметр 8 мм, 24 см, черные, без гофры, 5000 штук;10-0175;10-0175
Свеча плавающая в гильзе TEXTOP ЭКОНОМ  100 штук в упаковке;10-0176;10-0176
Трубочка бумажная, без изгиба, d=6 мм, длина 195 мм, белая, в упаковке 250 штук;10-0191;10-0191
Скатерть нетканая 110х140 см бордовая;10-0208;10-0208
Фитиль для насыпных свечей, 10 см, 100 штук в упаковке;10-0264;10-0264
Трубочка бумажная, без изгиба, d=6 мм, длина 195 мм, крафт, в упаковке 250 штук;10-0271;10-0271
Бокс Durable Coffee Point, для хранения аксессуаров для кейтеринга;10-0280;10-0280
Бокс Durable Coffee Point S, для хранения аксессуаров для кейтеринга;10-0281;10-0281
Лоток Durable Coffee Point Caddy, для хранения кофейных и чайных принадлежностей;10-0282;10-0282
Размешиватель деревянный, 140х6х1,8 мм, в индивидуальной бумажной упаковке, 250 штук в упаковке;10-0294;10-0294
Конверты для приборов бордо с кремовой салфеткой 100л/упак 38х23 см Tork LinStyle *6;10-0306;10-0306
Конверты для приборов цвет какао 60л/упак 40х39 см Tork LinStyle *6;10-0312;10-0312
Конверты для приборов кремовые 60л/упак 40х39 см Tork LinStyle *6;10-0313;10-0313
Конверты для приборов цвет шампань 60л/упак 40х39 см Tork LinStyle *6;10-0316;10-0316
Конверты для приборов цвет красные 60л/упак 40х39 см Tork LinStyle *6;10-0317;10-0317
Конверты для приборов цвет бургунди 60л/упак 40х39 см Tork LinStyle *6;10-0318;10-0318
Скатерть 80*80 1 сл серая LinStyle 20 л/упак Tork * 5;10-0322;10-0322
Скатерть 80*80 1 сл черная LinStyle 20 л/упак Tork * 5;10-0324;10-0324
Скатерть 80*80 1 сл бурунди LinStyle 20 л/упак Tork * 5;10-0325;10-0325
Упор-фиксатор для пиццы *800;10-0326;10-0326
Скатерть 80*80 1 сл белые LinStyle 20 л/упак Tork * 5;10-0339;10-0339
Скатерть 80*80 1 сл синие LinStyle 20 л/упак Tork * 5;10-0344;10-0344
Размешиватель деревянный 180х6х1,8 мм 1000 штук в упаковке;10-0352;10-0352
Палочки для суши в индивидуальной белой бумажной упаковке с рисунком, 23 см, 100 штук в упаковке;10-0354;10-0354
Свечи для торта с подставкой, 6 см, 24 штуки в упаковке;10-0360;10-0360
Свечи столбик d=7 см h=10 см белые;10-0378;10-0378
Конверты для приборов цвет бордо 60л/упак 39х23 см с кремовой салфеткой Tork LinStyle *5;10-0467;10-0467
Скатерть рулонная, бумажная, 1,18х10 м, белая;10-0475;10-0475
Трубочка без изгиба, диаметр 6,5 мм, 21 см, черная, 250 штук;10-0502;10-0502
Скатерть нетканая 120х140 см красная 50 штук в упаковке;10-0507;10-0507
Зубочистки Optiline, деревянные, в индивидуальной полиэтиленовой упаковке, 1000 штук;10-0508;10-0508
Зубочистки Optiline, деревянные с ментолом, в индивидуальной полиэтиленовой упаковке, 1000 штук;10-0510;10-0510
Салфетки для торта, диаметр 10 см, белая, 250 штук в упаковке;10-0519;10-0519
Салфетки для торта диаметр 12 см, белая, 250 штук;10-0520;10-0520
Салфетки для торта, диаметр 16 см, белая, 250 штук;10-0522;10-0522
Ажурные салфетки для торта, диаметр 20 см, белый, 250 штук в упаковке, 2000 штук в коробке;10-0525;10-0525
Ажурные салфетки для торта, диаметр 30 см, белый, 250 штук в упаковке, 2000 штук в коробке;10-0529;10-0529
Салфетки для торта 35х45 см, белая, 250 штук;10-0531;10-0531
Салфетки для торта 25х35 см, белая, 250 штук;10-0561;10-0561
Свечи столбик d=7 см h=15 см белые;10-0573;10-0573
Свечи столбик d= 7 см h=19 см белые;10-0574;10-0574
Салфетки для торта, диаметр 18 см, белая, 250 штук;10-0582;10-0582
Конверт для приборов  Оригамо, 190х60 мм;10-0594;10-0594
Скатерть рулонная бумажная Duni D-CEL 1,18х25 м, ваниль, 2 штуки в упаковке;10-0595;10-0595
Скатерть рулонная бумажная Duni D-CEL 1,18х25 м белая 2 штуки в упаковке;10-0601;10-0601
Скатерть рулонная бумажная Duni D-CEL 1,18х25 м бордовая 2 штуки в упаковке;10-0602;10-0602
Палочки для суши 23 см, в индивидуальной белой бумажной упаковке с рисунком, 100 штук в упаковке, 30 упаковок в коробке;10-0604;10-0604
Свеча столовая белая d-2,0 см h-14,5 см*280, шт;10-0637;10-0637
Свеча хозяйственная d-2,0 см h-19,5 см*215, шт;10-0638;10-0638
Свечи для торта ФОНТАН, 12,5 см,  4 штуки;10-0653;10-0653
Конверты для приборов цвет белые 50л/упак 40х39 см Tork LinStyle *12;10-0660;10-0660
Трубочка б/изг.бумажная d6мм 197мм белая в индив. бум упаковке 250шт/уп *4;10-0663;10-0663
Трубочка б/изг.бумажная d6мм 197мм крафт в индив. бум упаковке 250шт/уп *4;10-0664;10-0664
Конверты для приборов цвет черные 50л/упак 40х39 см Tork LinStyle *12;10-0683;10-0683
Размешиватель деревянный в индивидуальной упаковке, 250 штук;10-0702;10-0702
Пики для канапе Булава, цветные, пластиковые, 8,5 см, 400 штук в упаковке;10-1015;10-1015
Пики для канапе Карта, цветные, пластиковые, 9 см, 400 штук в упаковке;10-1020;10-1020
Пики для канапе Призма, прозрачные, пластиковые, 9 см, 500 штук в упаковке;10-1021;10-1021
Размешиватель пластиковый Пальма, 17,5 см, 100 штук в упаковке;10-1028;10-1028
Шпажки для канапе Меч/Шпага пластик 7 см 500 штук в упаковке цветные;10-1057;10-1057
Пики для канапе Булава, черные, пластиковые, 8,5 см, 400 штук в упаковке;10-1058;10-1058
Вилочка для канапе 11,5 см, цветные, 400 штук в упаковке;10-1062;10-1062
Пики для канапе Optiline Красная жемчужина, бамбуковые, 12 см, 100 штук в упаковке;10-1112;10-1112
Пики для канапе Optiline Рио, бамбуковые, 12 см, 100 штук в упаковке;10-1113;10-1113
Пики для канапе Optiline Ягода, деревянные, 12 см, 100 штук в упаковке, в коробке 100 упаковок;10-1115;10-1115
Пики для канапе Optiline Гольф, бамбуковые, 15 см, 100 штук в упаковке;10-1116;10-1116
Пики для канапе Optiline Красная жемчужина, бамбуковые, 7,5 см, 100 штук в упаковке, в коробке 30 упаковок;10-1118;10-1118
Пики для канапе Optiline Узелок, бамбуковые, 8 см, 100 штук в упаковке;10-1119;10-1119
Пики для канапе Optiline Гольф, бамбуковые, 9 см, 100 штук в упаковке;10-1120;10-1120
Пики для канапе Optiline Узелок, бамбуковые, 10 см, 100 штук в упаковке;10-1121;10-1121
Пики для канапе Optiline Черная жемчужина, бамбуковые, 7,5 см, 100 штук в упаковке;10-1137;10-1137
Пики для канапе Optiline Кристалы квадратные, бамбуковые, 12 см, 100 штук в упаковке;10-1140;10-1140
Пики для канапе Optiline Черная жемчужина, бамбуковые, 12 см, 100 штук в упаковке, в коробке 30 упаковок;10-1148;10-1148
Коврик для суши бамбуковый Макису;10-1973;10-1973
Палочки для мороженого, фигурные, 94х17х2 мм, 50 штук в упаковке, в коробке 9000 штук;10-1976;10-1976
Зубочистки деревянные, в индивидуальной бумажной упаковке, 1000 штук;10-2002;10-2002
Зубочистки 1000 штук, в индивидуальной упаковке, картонная коробка;10-2008;10-2008
Зубочистки Optiline, деревянные, в индивидуальной бумажной упаковке, 1000 штук;10-2021;10-2021
Пики для канапе Optiline Узелок, бамбуковые, 6 см, 100 штук в упаковке;10-2043;10-2043
Пики для канапе Optiline Гольф, бамбуковые, 18 см, 100 штук в упаковке;10-2044;10-2044
Свеча коническая Pap Star кремовая d=2,2 см h=25 см  50 штук в упаковке;10-2914;10-2914
Парафин сыпучий 25 кг в упаковке;10-2987;10-2987
Шампуры для шашлыка Optiline, бамбуковые, 15 см, 100 штук в упаковке;10-3023;10-3023
Шампуры для шашлыка Optiline, бамбуковые, 20 см, 100 штук в упаковке;10-3026;10-3026
Шампур для шашлыка Optiline, бамбук, 25 см, 100 штук в упаковке;10-3027;10-3027
Шампуры для шашлыка Optiline, бамбуковые, 30 см, 100 штук в упаковке;10-3028;10-3028
