_ID_;_MAIN_CATEGORY_;_CATEGORY_;_NAME_;_SKU_;_MANUFACTURER_;_PRICE_;_QUANTITY_;_LENGTH_;_WIDTH_;_HEIGHT_;_WEIGHT_;_DESCRIPTION_;_SORT_ORDER_
;;;Бумага А4 писчая, 65 г/кв.м, 500 листов в пачке, 5 пачек в коробке;14-6238;Starless;5.76;0;;;;;"<p><span style=""box-sizing: inherit; font-weight: bolder; font-family: &quot;PT Sans Bold&quot;, sans-serif; color: rgb(33, 37, 41); font-size: 17px; background-color: rgb(250, 250, 250);"">Бумага IPE 65</span><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">&nbsp;разработана и протестирована для использования на персональных матричных и лазерных принтерах, ризографах (дубликаторах), офсетных и флексомашинах. Оптимальное сочетание цены и качества. Экономичная и экологически чистая бумага, производится без оптических отбеливателей, хлора и кислот - безопасна для детского творчества и здоровья. Оттенок бумаги максимально удобен для чтения, снижает нагрузку на зрение при работе с документами на бумажных носителях.</span><br></p>";1
;;;Контейнер 375 мл, 126х126х51 мм, без крышки, прозрачный, в упаковке 500 штук;17-0385;Россия;3285.8;68500;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">Контейнер серии СпК-1212 объемом 375 мл изготовлен из ПЭТ прозрачного цвета, предназначен для фасовки салатов, десертов, овощей, солений, холодных закусок. Размер контейнера 126х126х51 мм. К контейнеру подойдет крышка арт. 17-0268. В упаковке 500 штук.</span><br></p>";2
;;;Крышка для контейнера для кусочка торта, 176х95,5х63,7 мм, прозрачный, 800 штук в коробке;17-6192;;503.32;49600;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">***[[ ###### ]]***</span><br></p>";3
;;;"Коврик Vortex ""Профи"" грязе- и влагозащитный  90х120 см, черный";31-0378;;113.4;22;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">***[[ ###### ]]***</span><br></p>";4
;;;Калькулятор МС2 BCD-886, 16-разрядный, бухгалтерский;14-5439;;1;83;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">***[[ ###### ]]***</span><br></p>";5
;;;Ножницы, 235 мм, пластиковые прорезиненные черные ручки;14-6397;;23.02;17034;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">***[[ ###### ]]***</span><br></p>";6
;;;Ажурные салфетки для торта, диаметр 20 см, белый, 250 штук в упаковке, 2000 штук в коробке;10-0525;;792.66;207000;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">***[[ ###### ]]***</span><br></p>";7
;;;Набор одноразовых тарелок, диаметр 170 мм, синий, 12 штук в упаковке;19-2063;;570;5;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">***[[ ###### ]]***</span><br></p>";8
;;;Бизнес-блокнот А4 Leitz WOW, 80 л, на гребне, зеленый;14-7388;;2250;0;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">***[[ ###### ]]***</span><br></p>";9
;;;Папка-регистратор Esselte No.1 Colour'Ice, А4, 75 мм, желтый;14-5785;;569.16;12;;;;;"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">***[[ ###### ]]***</span><br></p>";10
